Year,UORN_D,UORN_N,UORN_U,FuelConsumption,Kilometres,CylindersinEngine,Price
2022,1.0,0.0,0.0,8.7,5595,4,51990
2022,0.0,0.0,1.0,6.7,16,4,19990
2022,0.0,0.0,1.0,6.6,8472,4,108988
2011,0.0,0.0,1.0,11,136517,8,32990
2022,0.0,0.0,1.0,6,1035,4,34990
2004,0.0,0.0,1.0,,160230,,9990
2017,0.0,0.0,1.0,5.1,67662,4,62280
2000,0.0,0.0,1.0,8,300539,4,2995
2013,0.0,0.0,1.0,7.1,82012,4,24888
2014,0.0,0.0,1.0,4.5,38229,4,17900
2009,0.0,0.0,1.0,,148190,,42500
2018,0.0,0.0,1.0,9.8,16324,4,41999
2015,0.0,0.0,1.0,,181745,,11999
2017,0.0,0.0,1.0,,136296,,38999
2016,0.0,0.0,1.0,8,229829,4,27995
2012,0.0,0.0,1.0,6.2,55676,4,14999
2014,0.0,0.0,1.0,5.6,82624,4,24985
2013,0.0,0.0,1.0,,120020,,13999
2011,0.0,0.0,1.0,5.4,95204,4,13999
2014,0.0,0.0,1.0,5.4,76289,3,12400
2012,0.0,0.0,1.0,7.5,219681,4,13999
2013,0.0,0.0,1.0,6.1,98079,4,11999
2023,0.0,1.0,0.0,8.4,15,6,83887
2018,0.0,0.0,1.0,5.8,43274,4,19900
2012,0.0,0.0,1.0,8.4,105672,4,17990
2018,0.0,0.0,1.0,4.7,36836,3,14995
2005,0.0,0.0,1.0,9.8,115821,4,8499
2013,0.0,0.0,1.0,,143119,,21999
2011,0.0,0.0,1.0,7.9,189711,4,12990
2015,0.0,0.0,1.0,8.2,173786,6,16999
2018,0.0,0.0,1.0,6.9,114301,4,21950
2013,0.0,0.0,1.0,6.6,69197,4,24880
2023,0.0,1.0,0.0,,15,,35887
2015,0.0,0.0,1.0,7.9,94377,4,23888
2016,0.0,0.0,1.0,6.2,94965,4,16999
2019,0.0,0.0,1.0,8.1,99294,4,24490
2021,0.0,0.0,1.0,4.2,13694,4,44878
2007,0.0,0.0,1.0,6.7,264691,4,7949
2012,0.0,0.0,1.0,,224839,,13999
2010,0.0,0.0,1.0,7.7,238270,4,8800
2009,0.0,0.0,1.0,,76259,,32900
2015,0.0,0.0,1.0,9.1,140964,4,13990
2003,0.0,0.0,1.0,0,266848,4,9999
2013,0.0,0.0,1.0,7.4,141000,4,14999
2016,0.0,0.0,1.0,7.6,240402,4,22750
2010,0.0,0.0,1.0,7.9,101126,4,21950
2013,0.0,0.0,1.0,6.6,117254,4,19999
2012,0.0,0.0,1.0,7.8,178747,4,19900
2022,0.0,0.0,1.0,7.5,10579,4,37990
2010,0.0,0.0,1.0,7.7,167101,4,12990
2013,0.0,0.0,1.0,9.9,163161,6,16999
2021,0.0,0.0,1.0,6,13200,4,36990
2014,0.0,0.0,1.0,8.7,103211,4,23880
2007,0.0,0.0,1.0,7.4,177751,4,10990
2016,0.0,0.0,1.0,10.9,119614,4,44900
2012,0.0,0.0,1.0,6.9,125546,4,15880
2013,0.0,0.0,1.0,6.6,163000,4,16995
2008,0.0,0.0,1.0,11,132864,6,19880
2018,0.0,0.0,1.0,7.8,71655,4,43999
2012,0.0,0.0,1.0,5.6,109459,4,18888
2016,0.0,0.0,1.0,7.5,65361,4,24995
2006,0.0,0.0,1.0,9.6,212953,6,9998
2009,0.0,0.0,1.0,8.2,163012,4,9990
