Brand,Year,Model,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Ssangyong,2022,Rexton,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,AWD,Diesel,8.7,5595,White / Black,"Caringbah, NSW",4,SUV,4,7,51990
MG,2022,MG3,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,Front,Premium,6.7,16,Black / Black,"Brookvale, NSW",4,Hatchback,5,5,19990
BMW,2022,430I,2022 BMW 430I M Sport,USED,Automatic,Rear,Premium,6.6,8472,Grey / White,"Sylvania, NSW",4,Coupe,2,4,108988
Mercedes-Benz,2011,E500,2011 Mercedes-Benz E500 Elegance,USED,Automatic,Rear,Premium,11,136517,White / Brown,"Mount Druitt, NSW",8,Coupe,2,4,32990
Renault,2022,Arkana,2022 Renault Arkana Intens,USED,Automatic,Front,Unleaded,6,1035,Grey / Black,"Castle Hill, NSW",4,SUV,4,5,34990
Toyota,2004,Estima,2004 Toyota Estima T EDITION,USED,Automatic,Other,Unleaded,-,160230,Grey,"Saint Marys, NSW",-,Commercial,,,9990
Land,2017,Rover,2017and Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,AWD,Diesel,5.1,67662,White / Black,"Blacktown, NSW",4,SUV,2,4,62280
Nissan,2000,Pulsar,2000 Nissan PulsarX,USED,Automatic,Front,Unleaded,8,300539,Red / Grey,"Wentworthville, NSW",4,Hatchback,5,5,2995
Toyota,2013,86,2013 Toyota 86 GT,USED,Automatic,Rear,Premium,7.1,82012,Black,"Mcgraths Hill, NSW",4,Coupe,2,4,24888
Honda,2014,Jazz,2014 Honda Jazz Hybrid,USED,Automatic,Front,Hybrid,4.5,38229,Blue,"Lidcombe, NSW",4,Hatchback,5,5,17900
Toyota,2009,HiAce,2009 Toyota HiAce (No Badge),USED,Automatic,Other,Unleaded,-,148190,White,"Lidcombe, NSW",-,Commercial,,,42500
Toyota,2018,HiAce,2018 Toyota HiAceWB,USED,Automatic,Rear,Unleaded,9.8,16324,White / Grey,"Lidcombe, NSW",4,Commercial,4,2,41999
Honda,2015,City,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,USED,Automatic,Other,Unleaded,-,181745,Black,"Rouse Hill, NSW",-,,,,11999
Toyota,2017,HiAce,2017 Toyota HiAce,USED,Automatic,Other,-,-,136296,Silver / Grey,"Lidcombe, NSW",-,,,,38999
Toyota,2016,HiAce,2016 Toyota HiAceWB,USED,Automatic,Rear,Diesel,8,229829,White / Grey,"Lidcombe, NSW",4,Commercial,4,2,27995
Volkswagen,2012,Golf,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,Front,Premium,6.2,55676,White / Black,"Five Dock, NSW",4,Hatchback,5,5,14999
BMW,2014,X3,2014 BMW X3 Xdrive 20D,USED,Automatic,4WD,Diesel,5.6,82624,Black / Black,"Haberfield, NSW",4,SUV,4,5,24985
Mitsubishi,2013,Outlander,2013 Mitsubishi Outlander ES,USED,Manual,Other,-,-,120020,Blue / Grey,"Blacktown, NSW",-,Wagon,,,13999
BMW,2011,118D,2011 BMW 118D,USED,Automatic,Rear,Diesel,5.4,95204,Silver,"Five Dock, NSW",4,Hatchback,5,5,13999
Ford,2014,Fiesta,2014 Ford Fiesta Sport,USED,Automatic,Front,Unleaded,5.4,76289,White / Black,"Cabramatta, NSW",3,Hatchback,5,5,12400
Mitsubishi,2012,Outlander,2012 Mitsubishi OutlanderS (4X4),USED,Automatic,AWD,Unleaded,7.5,219681,Black / Black,"Blacktown, NSW",4,SUV,4,7,13999
Ford,2013,Fiesta,2013 Ford Fiesta Zetec,USED,Automatic,Front,Unleaded,6.1,98079,Blue / Black,"Blacktown, NSW",4,Hatchback,5,5,11999
Volkswagen,2023,Amarok,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,AWD,Diesel,8.4,15,White / Black,"Blacktown, NSW",6,Ute / Tray,4,5,83887
Honda,2018,Jazz,2018 Honda Jazz VTI,USED,Automatic,Front,Unleaded,5.8,43274,Silver / Black,"Castle Hill, NSW",4,Hatchback,5,5,19900
